Sample;;;;7  Li  [ No Gas ] ;;;;44  Ca  [ He ] ;;;;88  Sr  [ No Gas ] ;;;;45  Sc ( ISTD )  [ He ] ;;115  In ( ISTD )  [ No Gas ] ;
Acq. Date-Time;Type;Level;Sample Name;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;CPS;CPS RSD
19/12/2018 13:54;Sample;;smp17;22405.38;0.959763532;1.048515277;0.971666041;1653983.237;0.79286348;95137.46734;0.792868494;948431719.2;0.756889354;5926.560704;0.756889467;37498.60667;0.407281542;277205.0533;0.618189079
19/12/2018 13:58;Sample;;smp18;4124.136667;2.994700979;0.182389511;3.208203309;707210.83;0.304329757;40678.57286;0.304334258;353652208.1;0.939258289;2209.901576;0.939258667;37986.99333;0.393628333;279089.78;0.508333214
19/12/2018 14:02;Sample;;smp19;988.9633333;8.12709942;0.03385178;11.24888501;70664.69667;0.828615818;4064.072413;0.82873849;32898542.56;0.94422101;205.5755749;0.944225092;38337.69;1.212578859;283858.52;0.338615886
19/12/2018 14:06;Sample;;smp20;69202.37;0.910983605;3.265655438;0.914610953;180.3966667;2.877737293;9.774855006;3.054868766;19019.48333;2.981961242;0.11796021;3.004428724;37746.39333;0.576168878;278478.46;0.368985358
19/12/2018 14:10;Sample;;0;663.3733333;4.113485684;0.01842603;7.016353229;16.34333333;30.18085966;0.338412724;83.83952121;881.18;13.62212008;0.004617552;16.24404868;37121.75;0.299861913;273657.3567;0.32012845
19/12/2018 14:14;Sample;;Derive;22231.56667;1.011967688;1.040280377;1.024616952;2260.386667;1.252712415;129.4170786;1.258536325;162810.8933;0.791231071;1.016484195;0.791922887;36993.84667;0.775366294;276154.2333;0.203444251
19/12/2018 14:18;Sample;;0;554.4766667;6.021995883;0.013266742;11.92434899;16.34;30.21539511;0.338220989;83.96591089;471.1366667;10.83211144;0.002055272;15.5162707;36365.30333;1.231577778;270861.1033;0.80829575
19/12/2018 14:22;Sample;;smp21;2748.166667;5.097323365;0.117199029;5.662868389;224.8433333;6.773510903;12.33145289;7.103997993;10403.59;1.17728148;0.064121202;1.193599467;36419.71;1.135272893;272013.3267;0.347676551
19/12/2018 14:26;Sample;;smp22;716.7133333;4.922359099;0.020953164;7.977088111;1990296.893;0.24776588;114482.4227;0.247767182;1126913254;0.569312362;7041.856397;0.569312434;37807.43;1.066800568;274037.0733;1.318642225
19/12/2018 14:30;Sample;;smp23;542.2533333;13.36145745;0.012687627;27.0552092;679877.0067;0.577010709;39106.31559;0.577019587;330455397.3;0.526256945;2064.949309;0.526257171;38493.63;1.528781139;279451.3867;0.297633671
19/12/2018 14:34;Sample;;smp24;534.4733333;7.544634172;0.012319027;15.50825886;67362.13667;0.047497775;3874.107259;0.047505151;30625794.82;0.11005226;191.3736252;0.110052771;38751.25333;0.371615728;284096.07;0.555878245
19/12/2018 14:38;Sample;;smp25;1557.926667;1.819822365;0.060808032;2.208972388;142.4866667;16.06829286;7.594249957;17.34132617;4749.973333;7.481996196;0.028792874;7.712947497;37383.85333;1.002947066;276250.6333;0.9308074
19/12/2018 14:42;Sample;;0;461.14;3.010085795;0.008844653;7.43543057;13.72333333;51.53578589;0.187708814;216.7240352;940.0733333;3.995954954;0.004985565;4.708306176;37170.92333;0.787374023;270887.4767;0.931844846
19/12/2018 14:46;Sample;;smp26;633.37;2.93042174;0.017004537;5.171279651;1759953.007;0.318326168;101232.9096;0.31832806;1037123602;0.499220143;6480.778681;0.499220212;37488.89667;2.477334118;282123.75;4.098966993
19/12/2018 14:50;Sample;;smp27;592.26;1.299930345;0.015056835;2.422557178;357168.34;0.105491058;20543.9271;0.105494147;178931472.9;0.664241284;1118.106376;0.664241812;38280.67333;1.206991928;277004.4367;0.426349898
19/12/2018 14:54;Sample;;smp28;724.4933333;5.490084406;0.021321764;8.838234407;329.42;6.271582639;18.34676303;6.477253427;10794.07333;16.08076045;0.066561255;16.29548071;36972.86;0.32249484;273795.54;0.574528046
19/12/2018 14:58;Sample;;smp29;480.03;8.866198926;0.00973962;20.70327606;297.3933333;7.614050155;16.5045707;7.891616249;7302.383333;2.381764381;0.044742377;2.429075986;36656.95;1.325367029;273726.9633;0.986532551
19/12/2018 15:02;Sample;;smp30;418.9133333;0.919265631;0.006844044;2.665800329;1454380.673;0.427692812;83656.21286;0.427695888;6616156.983;0.595665467;41.34216322;0.595678273;37479.60333;0.629558023;268993.8667;0.192278177
19/12/2018 15:06;Sample;;0;440.0266667;8.017514994;0.007844348;21.30772723;27.45333333;39.7700577;0.977466327;64.24994021;968.9666667;6.584936543;0.005166113;7.717794879;36969.70333;0.352982449;271152.8133;0.320288216
19/12/2018 15:10;Sample;;Derive;22079.20333;0.941192351;1.033061732;0.953039153;2130.946667;4.358373994;121.9716152;4.379873112;156172.84;0.406646518;0.975004317;0.407017198;35793.09667;0.998042491;266756.24;0.204069976
19/12/2018 15:14;Sample;;0;354.4633333;8.737556081;0.003790543;38.71106475;14.38;68.6398845;0.225480659;251.796311;642.2666667;6.14827923;0.00312463;7.897090494;34930.64333;0.370873609;260586.8733;0.369631696
